t,Tv_w0p25,Ti_w0p25,absdT_w0p25,Tv_w0p50,Ti_w0p50,absdT_w0p50,Tv_w0p75,Ti_w0p75,absdT_w0p75,Tv_w1p00,Ti_w1p00,absdT_w1p00
0.0808071229375091,1.26337528094314,1.20493707858504,0.0584382023580963,1.24342254662203,1.2348661800666,0.0085563665554298,1.24040171682742,1.23939742475845,0.00100429206896613,1.2399406863855,1.24008897042126,0.000148284035756951
0.0808341940004697,1.26336031723183,1.20495952415201,0.0584007930798107,1.24341802821657,1.2348729576748,0.00854507054177556,1.24040066432683,1.23939900350933,0.00100166081749409,1.2399404602299,1.24008930965465,0.000148849424744135
0.0808612650634303,1.26334536308236,1.20498195537621,0.0583634077061528,1.24341351550337,1.2348797267446,0.00853378875877286,1.24039961379563,1.23940057930613,0.00099903448949723,1.2399402346307,1.24008964805346,0.000149413422757094
0.080888336126391,1.26333041848857,1.20500437226689,0.0583260462216801,1.24340900847524,1.23488648728679,0.0085225211884481,1.24039856523013,1.23940215215438,0.000996413075753155,1.23994000958651,1.24008998561973,0.000149976033221533
0.0809154071893516,1.26331548344429,1.20502677483332,0.0582887086109607,1.243404507125,1.23489323931215,0.00851126781285072,1.24039751862665,1.2394037220596,0.000993796567057226,1.23993978509598,1.24009032235553,0.000150537259555383
0.0809424782523123,1.26330055794333,1.20504916308476,0.0582513948585728,1.24340001144548,1.23489998283143,0.00850002861405219,1.24039647398152,1.2394052890273,0.000991184954221902,1.23993956115773,1.2400906582629,0.000151097105167475
0.0809695493152729,1.26328564197954,1.20507153703044,0.0582141049491047,1.24339552142952,1.23490671785537,0.00848880357414794,1.24039543129106,1.23940685306298,0.000988578228076964,1.23993933777042,1.24009099334388,0.000151655573458864
0.0809966203782335,1.26327073554676,1.20509389667961,0.0581768388671546,1.24339103706996,1.23491344439471,0.00847759267525472,1.24039439055162,1.23940841417215,0.000985976379469733,1.23993911493267,1.24009132760049,0.000152212667821505
0.0810236914411942,1.26325583863883,1.2051162420415,0.0581395965973315,1.24338655835967,1.23492016246015,0.00846639589951304,1.24039335175954,1.23940997236027,0.00098337939926374,1.23993889264314,1.24009166103478,0.000152768391639357
0.0810507625041548,1.2632409512496,1.20513857312535,0.0581023781242538,1.2433820852915,1.23492687206241,0.00845521322908604,1.24039231491117,1.23941152763283,0.000980787278341166,1.23993867090049,1.24009199364877,0.000153322748288165
